start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness_overall,runaway_max_robustness_overall,runaway_average_robustness_overall,runaway_cumulative_robustness_overall,runaway_min_robustness_feature_interaction,runaway_max_robustness_feature_interaction,runaway_average_robustness_feature_interaction,runaway_cumulative_robustness_feature_interaction,boundary_min_robustness_overall,boundary_max_robustness_overall,boundary_average_robustness_overall,boundary_cumulative_robustness_overall,boundary_min_robustness_feature_interaction,boundary_max_robustness_feature_interaction,boundary_average_robustness_feature_interaction,boundary_cumulative_robustness_feature_interaction,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH,boundary_activation_robustness_average,boundary_activation_robustness_cumulative,boundary_activation_robustness_min,boundary_activation_robustness_max,runaway_activation_robustness_average,runaway_activation_robustness_cumulative,runaway_activation_robustness_min,runaway_activation_robustness_max
10-02-2022_14-28-54,10-02-2022_14-30-51,PRIORITY - RUNAWAY,73,experiments/config/bound_run/randomized_config/config_73.ini,,-9,35,5.100502513,1015,-8,-1,-4,-48,-17,18,3.974874372,791,-12,-2,-5.416666667,-65,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,60,37,22,2,11,9,2,3,-15,-2,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-4.846153846,-126,-17,5,-1.769230769,-46,-9,7
10-02-2022_16-36-11,10-02-2022_16-38-07,PRIORITY - RUNAWAY,74,experiments/config/bound_run/randomized_config/config_74.ini,,-10,49,3.185929648,634,-10,-1,-3.754716981,-199,-40,16,-5.291457286,-1053,-34,-1,-15.62264151,-828,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,86,55,27,3,10,9,5,8,7,-20,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-15.62,-1562,-40,0,0.5,50,-10,18
10-02-2022_15-51-43,10-02-2022_15-53-39,PRIORITY - RUNAWAY,75,experiments/config/bound_run/randomized_config/config_75.ini,,-9,47,5.959798995,1186,-9,-1,-4.129032258,-128,-42,13,-3.984924623,-793,-39,-1,-13.06451613,-405,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,59,76,21,5,13,9,8,10,6,-18,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-16.26086957,-1122,-42,2,1.695652174,117,-9,18
10-02-2022_17-27-08,10-02-2022_17-29-05,PRIORITY - BOUNDARY,76,experiments/config/bound_run/randomized_config/config_76.ini,,-10,42,3.361809045,669,-10,-1,-3.935483871,-122,-10,11,1.809045226,360,-10,-1,-4.258064516,-132,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,47,67,31,1,10,9,3,8,-5,-13,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-3.790697674,-163,-10,4,-2.953488372,-127,-10,6
10-02-2022_16-46-18,10-02-2022_16-48-15,PRIORITY - BOUNDARY,77,experiments/config/bound_run/randomized_config/config_77.ini,,-10,54,2.020100503,402,-10,-1,-5.217391304,-120,-7,17,5.060301508,1007,-7,-1,-3.391304348,-78,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,72,46,31,2,7,9,4,6,20,-9,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-2.344827586,-68,-7,3,-4.896551724,-142,-10,-1
10-01-2022_09-07-17,10-01-2022_09-09-14,PRIORITY - BOUNDARY,78,experiments/config/bound_run/randomized_config/config_78.ini,,-10,21,3.150753769,627,-9,-1,-4.393939394,-145,-11,16,2.814070352,560,-11,-1,-4.696969697,-155,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,35,67,8,5,8,9,6,7,-7,17,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-3.95,-158,-11,3,-4.075,-163,-9,5
10-01-2022_09-11-07,10-01-2022_09-13-04,PRIORITY - BOUNDARY,79,experiments/config/bound_run/randomized_config/config_79.ini,,-9,44,8.512562814,1694,-9,-1,-5.130434783,-118,-12,17,1.64321608,327,-9,-1,-5.304347826,-122,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,27,82,17,8,14,9,9,11,0,-19,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-4.357142857,-122,-9,2,-4.464285714,-125,-9,3
10-01-2022_09-15-00,10-01-2022_09-16-57,PRIORITY - BOUNDARY,80,experiments/config/bound_run/randomized_config/config_80.ini,,-9,35,9.16080402,1823,-8,-1,-3.842105263,-73,-14,17,0.386934673,77,-11,-1,-5.105263158,-97,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,20,95,18,9,14,9,11,12,-15,14,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-4.822222222,-217,-14,6,0.533333333,24,-8,14
10-01-2022_09-18-52,10-01-2022_09-20-50,PRIORITY - BOUNDARY,81,experiments/config/bound_run/randomized_config/config_81.ini,,-8,46,4.457286432,887,-8,-1,-3.472222222,-125,-18,19,-0.43718593,-87,-18,-1,-8.222222222,-296,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,38,83,25,3,13,9,3,5,-1,5,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-8.529411765,-435,-18,-1,-1.960784314,-100,-8,3
10-02-2022_16-50-25,10-02-2022_16-52-22,PRIORITY - BOUNDARY,82,experiments/config/bound_run/randomized_config/config_82.ini,,-10,41,4.753768844,946,-8,-1,-4.166666667,-75,-9,13,3.075376884,612,-7,-1,-2.555555556,-46,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,46,57,20,5,10,9,6,9,-7,-14,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-1.3125,-42,-9,4,-4.09375,-131,-10,1
10-01-2022_09-28-37,10-01-2022_09-30-36,PRIORITY - BOUNDARY,83,experiments/config/bound_run/randomized_config/config_83.ini,,-9,57,3.914572864,779,-9,-1,-4.2,-105,-14,18,2.944723618,586,-14,-1,-7.2,-180,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,53,67,24,2,12,9,5,6,11,-18,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-5.702702703,-211,-14,8,-3.027027027,-112,-9,3
10-02-2022_16-17-53,10-02-2022_16-19-50,PRIORITY - BOUNDARY,84,experiments/config/bound_run/randomized_config/config_84.ini,,-9,46,5.743718593,1143,-8,-2,-4.5,-45,-16,19,6.246231156,1243,-10,-1,-3.8,-38,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,55,49,23,1,14,9,2,4,3,0,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-0.555555556,-10,-10,8,-4.666666667,-84,-9,-1
10-02-2022_16-21-57,10-02-2022_16-23-53,PRIORITY - BOUNDARY,85,experiments/config/bound_run/randomized_config/config_85.ini,,-10,46,9.381909548,1867,-9,-1,-4.826086957,-111,-15,19,0.381909548,76,-15,-1,-5.217391304,-120,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,20,90,18,6,14,9,8,13,-3,7,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-4.285714286,-150,-15,3,-2.6,-91,-9,13
10-02-2022_15-21-00,10-02-2022_15-22-57,PRIORITY - BOUNDARY,86,experiments/config/bound_run/randomized_config/config_86.ini,,-10,30,9.477386935,1886,-9,-1,-4.333333333,-52,-13,18,1.180904523,235,-13,-2,-5.833333333,-70,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,23,86,7,8,14,9,11,12,-16,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-5.913043478,-136,-13,1,0.260869565,6,-9,10
10-02-2022_16-25-57,10-02-2022_16-27-53,PRIORITY - BOUNDARY,87,experiments/config/bound_run/randomized_config/config_87.ini,,-10,44,5.366834171,1068,-8,-1,-4.851851852,-131,-10,17,2.889447236,575,-8,-1,-3.444444444,-93,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,36,70,23,6,12,9,6,11,13,-4,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-1.465116279,-63,-8,11,-4.23255814,-182,-10,3
10-01-2022_09-55-53,10-01-2022_09-57-51,PRIORITY - BOUNDARY,88,experiments/config/bound_run/randomized_config/config_88.ini,,-10,51,3.055276382,608,-10,-1,-4.878787879,-161,-11,15,3.055276382,608,-11,-1,-4.515151515,-149,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,56,55,29,4,9,9,3,7,9,-12,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-3.35,-134,-11,6,-4.525,-181,-10,4
10-03-2022_10-33-32,10-03-2022_10-35-29,PRIORITY - BOUNDARY,89,experiments/config/bound_run/randomized_config/config_89.ini,,-8,57,4.361809045,868,-8,-1,-2.555555556,-46,-14,17,3.467336683,690,-10,-1,-4.055555556,-73,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,53,48,24,6,8,9,3,4,10,-14,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-2.534883721,-109,-14,7,-2.465116279,-106,-8,4
10-01-2022_11-07-31,10-01-2022_11-09-29,PRIORITY - BOUNDARY,90,experiments/config/bound_run/randomized_config/config_90.ini,,-9,53,4.35678392,867,-8,-1,-4.086956522,-94,-10,16,5.065326633,1008,-10,-1,-4.434782609,-102,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,57,42,8,2,8,9,2,4,4,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-2.923076923,-114,-10,7,-3.282051282,-128,-9,2
10-01-2022_11-17-54,10-01-2022_11-19-52,PRIORITY - BOUNDARY,91,experiments/config/bound_run/randomized_config/config_91.ini,,-8,54,8.100502513,1612,-8,-1,-2.928571429,-41,-6,18,5.206030151,1036,-6,-1,-2.214285714,-31,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,73,18,25,1,4,9,1,2,5,-10,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,2.292682927,94,-6,13,-3.731707317,-153,-8,0
10-01-2022_11-34-20,10-01-2022_11-36-16,PRIORITY - BOUNDARY,92,experiments/config/bound_run/randomized_config/config_92.ini,,-10,29,2.487437186,495,-10,-1,-4.866666667,-146,-12,16,2.994974874,596,-12,-1,-4.233333333,-127,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,59,61,17,2,10,9,4,9,11,19,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-2.822222222,-127,-12,5,-3.711111111,-167,-10,12
10-02-2022_18-32-48,10-02-2022_18-34-44,PRIORITY - BOUNDARY,93,experiments/config/bound_run/randomized_config/config_93.ini,,-10,42,6.577889447,1309,-9,-1,-4,-104,-20,17,1.095477387,218,-20,-1,-6.653846154,-173,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,28,83,21,5,12,9,8,11,-5,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-5.860465116,-252,-20,0,-1.023255814,-44,-9,18
10-01-2022_11-45-55,10-01-2022_11-47-52,PRIORITY - BOUNDARY,94,experiments/config/bound_run/randomized_config/config_94.ini,,-9,38,2.135678392,425,-8,-1,-4.176470588,-71,-6,17,6.386934673,1271,-6,-1,-2.823529412,-48,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,76,26,26,3,6,9,2,4,0,11,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,0.205882353,7,-6,8,-4.617647059,-157,-9,-1
10-03-2022_10-44-17,10-03-2022_10-46-14,PRIORITY - BOUNDARY,95,experiments/config/bound_run/randomized_config/config_95.ini,,-10,49,6.648241206,1323,-9,-2,-4.642857143,-65,-13,18,2.964824121,590,-9,-1,-3.285714286,-46,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,35,68,12,5,12,9,7,10,18,-12,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-3.68,-92,-9,3,-1.68,-42,-9,7
10-01-2022_12-44-30,10-01-2022_12-46-54,PRIORITY - BOUNDARY,96,experiments/config/bound_run/randomized_config/config_96.ini,,-10,51,1.829145729,364,-10,-1,-8.557692308,-890,-44,14,-7.427135678,-1478,-15,-1,-14.38461538,-1496,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,25,131,43,0,5,9,1,3,-5,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-13.08849558,-1479,-15,7,-8.203539823,-927,-10,0
10-01-2022_12-48-47,10-01-2022_12-50-44,PRIORITY - BOUNDARY,97,experiments/config/bound_run/randomized_config/config_97.ini,,-9,47,9.909547739,1972,-8,-2,-5.133333333,-77,-11,19,1.693467337,337,-7,-1,-3.666666667,-55,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,21,81,20,8,14,9,10,11,-2,3,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-4.25,-102,-10,1,-2.041666667,-49,-9,11
10-01-2022_12-52-41,10-01-2022_12-54-52,PRIORITY - BOUNDARY,98,experiments/config/bound_run/randomized_config/config_98.ini,,-9,111,19.84924623,3950,-9,-1,-3.818181818,-42,-71,17,-0.16080402,-32,-11,-1,-4.454545455,-49,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,23,52,1,2,11,9,2,3,-15,-2,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-22.41666667,-807,-71,3,38.75,1395,-9,111
10-01-2022_15-45-31,10-01-2022_15-47-31,PRIORITY - BOUNDARY,99,experiments/config/bound_run/randomized_config/config_99.ini,,-10,50,4.899497487,975,-8,-1,-4.363636364,-96,-9,15,3.502512563,697,-6,-1,-2.590909091,-57,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,42,58,32,5,10,9,5,8,7,-20,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-1.290322581,-40,-6,4,-4.516129032,-140,-8,-1
10-02-2022_17-00-29,10-02-2022_17-02-26,PRIORITY - BOUNDARY,100,experiments/config/bound_run/randomized_config/config_100.ini,,-10,47,7.236180905,1440,-10,-1,-4.523809524,-95,-9,14,2.291457286,456,-6,-1,-3.428571429,-72,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,30,73,21,8,13,9,8,10,6,-18,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-2.142857143,-75,-6,5,-3.542857143,-124,-10,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.259055415,,30.79238347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,~ 0.26 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,